date,Station,O3 ppb,NO ppb,NO2 ppb,NOx ppb,SO2 ppb,PM 10 ug/m3,CO ppm,wind_direction,wind speed,temperature,dewpoint_temperature,sea_level_pressure,station_pressure,relative_humidity
2017-03-24 14:00:00,S1,12.7,22,44,66,2.3,6,5,0,0,6.833333333,6.233333333,1014.166667,842.9,96
2017-03-24 15:00:00,S1,13.4,19,43,62,2.3,4,3,0,0,7.2,6.3,1014.4,843.2,94
2017-03-24 16:00:00,S1,13.1,20,42,62,2.3,3,3,0,0,7.376666667,6.1,1015.033333,843.4666667,96
2017-03-24 17:00:00,S1,13.1,17,43,59,2.3,4,3,0,0,7.553333333,5.9,1015.666667,843.7333333,98
2017-03-24 18:00:00,S1,13.1,17,42,59,2.3,3,2,0,0,7.73,5.7,1016.3,844,100
2017-03-24 19:00:00,S1,12.4,25,44,69,2.4,3,2,0,0,6.686666667,5.333333333,1016,843.7333333,100
2017-03-24 20:00:00,S1,16.4,37,47,83,2.1,6,2,0,0,5.643333333,4.966666667,1015.7,843.4666667,100
2017-03-24 21:00:00,S1,8.2,45,47,93,2.1,15,4,0,0,4.6,4.6,1015.4,843.2,100
2017-03-24 22:00:00,S1,13.3,68,46,114,2.4,10,9,0,0,4.466666667,4.433333333,1015.4,843.1666667,100
2017-03-24 23:00:00,S1,4.9,93,44,137,2.8,24,5,0,0,4.333333333,4.266666667,1015.4,843.1333333,100
2017-03-25 00:00:00,S1,6.8,146,41,187,3.5,36,4,0,0,4.2,4.1,1015.4,843.1,100
2017-03-25 01:00:00,S1,4.3,164,39,203,3.3,29,4,90,0.333333333,4.333333333,3.633333333,1015.533333,843.3333333,95.66666667
2017-03-25 02:00:00,S1,10.5,191,38,230,3.6,40,11,180,0.666666667,4.466666667,3.166666667,1015.666667,843.5666667,91.33333333
2017-03-21 00:00:00,S2,7,7,39,47,2.9,52,15.9,20,1,5.2,-3,1005.1,836.3,56
2017-03-21 01:00:00,S2,13,20.2,53.2,73.5,5.1,48.6,19.8,16.66666667,1,4.866666667,-3.1,1005.833333,836.7666667,56.66666667
2017-03-21 02:00:00,S2,6,9,40,49,2.2,46,13.8,13.33333333,1,4.533333333,-3.2,1006.566667,837.2333333,57.33333333
2017-03-21 03:00:00,S2,12,4,34,38,3,24,15.7,10,1,4.2,-3.3,1007.3,837.7,58
2017-03-21 04:00:00,S2,21,1,25,26,2.4,26,8.9,6.666666667,0.666666667,6.533333333,-3.533333333,1007.233333,838.1333333,50
2017-03-21 05:00:00,S2,20,1,25,26,2.2,35,9,3.333333333,0.333333333,8.866666667,-3.766666667,1007.166667,838.5666667,42
2017-03-21 06:00:00,S2,12,2,31,33,2.4,19,16.2,0,0,11.2,-4,1007.1,839,34
2017-03-21 07:00:00,S2,25,1,21,22,2,52,20.1,86.66666667,1.333333333,11.66666667,-5.1,1007.133333,838.9,30.66666667
2017-03-21 08:00:00,S2,12,6,33,39,2.6,44,18.2,173.3333333,2.666666667,12.13333333,-6.2,1007.166667,838.8,27.33333333
2017-03-21 09:00:00,S2,14,10,31,41,2.2,43,16.1,260,4,12.6,-7.3,1007.2,838.7,24
2017-03-21 10:00:00,S2,36,3,14,17,2.5,25,15.2,253.3333333,3.666666667,12.4,-6.566666667,1007.433333,838.6333333,26
2017-03-21 11:00:00,S2,39,3,11,14,2.3,51,19.8,246.6666667,3.333333333,12.2,-5.833333333,1007.666667,838.5666667,28
2017-03-21 12:00:00,S2,40,3,10,13,2.1,39,13.6,240,3,12,-5.1,1007.9,838.5,30
2017-03-21 13:00:00,S2,39,3,11,14,2.1,37,11.4,243.3333333,3,11,-4.566666667,1009,839.0666667,33.66666667
2017-03-21 14:00:00,S2,40,3,11,14,2,64,16.7,246.6666667,3,10,-4.033333333,1010.1,839.6333333,37.33333333
2017-03-21 15:00:00,S2,39,3,11,15,2,39,13.9,250,3,9,-3.5,1011.2,840.2,41
2017-03-21 16:00:00,S2,39,2,11,13,2.2,27,13.4,233.3333333,2.666666667,8.800000333,-3.666666667,1010.866667,840.4666667,41
2017-03-21 17:00:00,S2,39,3,11,13,3,20,8,216.6666667,2.333333333,8.600000667,-3.833333333,1010.533333,840.7333333,41
2017-03-21 18:00:00,S2,23.4,2,13,15,4,22,8.3,200,2,8.400001,-4,1010.2,841,41
2017-03-21 19:00:00,S2,29,3,19,21,4,21.6,10.3,206.6666667,2,8.200000667,-3.4,1010.1,841.0333333,43.66666667
2017-03-21 20:00:00,S2,29,2,18,20,3,18,4.9,213.3333333,2,8.000000333,-2.8,1010,841.0666667,46.33333333
2017-03-21 21:00:00,S2,21,3,26,29,1,17,11.4,220,2,7.8,-2.2,1009.9,841.1,49
2017-03-21 22:00:00,S2,21,3,26,29,2.2,15,8.7,230,2,6.5,-0.166666667,1010.433333,841.2,66
2017-03-21 23:00:00,S2,12,4,35,39,2.7,16,14.4,240,2,5.2,1.866666667,1010.966667,841.3,83
2017-03-22 00:00:00,S2,9,13,38,51,2.2,14,14.1,250,2,3.9,3.9,1011.5,841.4,100
2017-03-22 01:00:00,S2,9.5,39,47,86,3.2,23,11.4,263.3333333,2.333333333,4.366666667,0.566666667,1012.3,841.8333333,81.33333333
2017-03-22 02:00:00,S2,9.3,32,44,76,2.9,30,18.2,276.6666667,2.666666667,4.833333333,-2.766666667,1013.1,842.2666667,62.66666667
2017-03-22 03:00:00,S2,26,6,21,27,3.2,49,11.3,290,3,5.3,-6.1,1013.9,842.7,44
2017-03-22 04:00:00,S2,32,1,10,10,3.1,26,14.9,290,3,6.533333333,-7.166666667,1013.933333,842.9666667,38
2017-03-22 05:00:00,S2,31,1,11,11,3.2,27,14,290,3,7.766666667,-8.233333333,1013.966667,843.2333333,32
2017-03-22 06:00:00,S2,30,1,10,11,3.1,21,12.5,290,3,9,-9.3,1014,843.5,26
2017-03-22 07:00:00,S2,23,1,16,16,3.1,20,15.1,283.3333333,3.333333333,9.766666667,-8.5,1013.733333,843.4666667,26.33333333
2017-03-22 08:00:00,S2,34,1,12,13,2.3,20,15.4,276.6666667,3.666666667,10.53333333,-7.7,1013.466667,843.4333333,26.66666667
2017-03-22 09:00:00,S2,34,2,10,12,2.4,19,18.5,270,4,11.3,-6.9,1013.2,843.4,27
2017-03-22 10:00:00,S2,36,3,9,12,1.9,28,12.9,253.3333333,3.666666667,11.4,-5.166666667,1013.166667,843.0666667,31.33333333
2017-03-22 11:00:00,S2,38,2,7,9,2.2,28,13.1,236.6666667,3.333333333,11.5,-3.433333333,1013.133333,842.7333333,35.66666667
2017-03-22 12:00:00,S2,39,2,7,10,1.8,18,7,220,3,11.6,-1.7,1013.1,842.4,40
